,Win_Loss,FG,FGA,FG_Percent,3P,Differential,3PA,3P_Percent,FT,FTA,FT_Percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Postseason,Opp_Def_Eff,Opp_TS,Opp_TO_per_POS,Opp_3PT_Made,Over/Under
200,0,7.0,20.0,0.35,4.0,-6,9.0,0.444,5.0,6.0,0.833,3.0,5.0,8.0,8.0,0.0,1.0,4.0,2.0,23.0,16.5,-5.0,0,1.141,1.165,0.127,12.4,0
201,1,4.0,10.0,0.4,1.0,23,4.0,0.25,4.0,4.0,1.0,0.0,2.0,2.0,12.0,2.0,0.0,1.0,0.0,13.0,17.6,12.0,0,1.101,1.159,0.177,11.2,0
202,1,7.0,15.0,0.467,5.0,17,9.0,0.556,8.0,8.0,1.0,1.0,4.0,5.0,5.0,1.0,0.0,1.0,3.0,27.0,23.5,28.0,0,1.039,1.098,0.137,11.9,0
203,1,9.0,18.0,0.5,3.0,4,11.0,0.273,7.0,9.0,0.778,0.0,2.0,2.0,6.0,0.0,0.0,4.0,1.0,28.0,18.6,-4.0,0,1.101,1.159,0.177,11.2,1
204,0,5.0,15.0,0.333,2.0,-20,9.0,0.222,4.0,5.0,0.8,0.0,2.0,2.0,7.0,1.0,0.0,2.0,2.0,16.0,10.8,-13.0,0,1.086,1.088,0.134,12.3,0
205,1,7.0,12.0,0.583,4.0,11,6.0,0.667,6.0,7.0,0.857,0.0,4.0,4.0,10.0,2.0,1.0,4.0,2.0,24.0,24.1,14.0,0,1.082,1.155,0.148,12.4,0
206,0,9.0,18.0,0.5,2.0,-23,8.0,0.25,9.0,11.0,0.818,0.0,7.0,7.0,8.0,0.0,0.0,4.0,0.0,29.0,22.9,-10.0,0,1.063,1.106,0.151,11.7,1
207,0,8.0,24.0,0.333,2.0,-12,12.0,0.167,8.0,8.0,1.0,0.0,3.0,3.0,7.0,1.0,0.0,3.0,3.0,26.0,15.0,-9.0,0,1.039,1.098,0.137,11.9,0
208,1,9.0,15.0,0.6,8.0,28,12.0,0.667,5.0,5.0,1.0,0.0,2.0,2.0,6.0,0.0,0.0,3.0,2.0,31.0,25.1,28.0,0,1.101,1.143,0.134,13.3,1
209,0,5.0,16.0,0.313,2.0,-15,9.0,0.222,1.0,2.0,0.5,1.0,1.0,2.0,11.0,1.0,0.0,2.0,0.0,13.0,11.1,-11.0,0,1.059,1.133,0.14,12.1,0
210,1,9.0,21.0,0.429,3.0,1,8.0,0.375,6.0,7.0,0.857,0.0,1.0,1.0,5.0,0.0,0.0,4.0,4.0,27.0,13.7,10.0,0,1.114,1.145,0.149,11.6,0
211,1,9.0,20.0,0.45,2.0,10,8.0,0.25,11.0,13.0,0.846,1.0,4.0,5.0,13.0,1.0,1.0,3.0,1.0,31.0,29.1,11.0,0,1.066,1.162,0.15,13.5,1
212,1,13.0,21.0,0.619,7.0,15,13.0,0.538,3.0,3.0,1.0,0.0,3.0,3.0,6.0,1.0,0.0,5.0,1.0,36.0,27.2,28.0,0,1.052,1.128,0.144,12.5,1
